round,action,optimal_action,reward,cumulative_reward,cumulative_regret
305,2,0,0,164,45.032687511845424
306,0,0,0,164,45.032687511845424
307,0,0,1,165,45.032687511845424
308,0,0,1,166,45.032687511845424
309,0,0,1,167,45.032687511845424
310,0,0,1,168,45.032687511845424
311,0,0,1,169,45.032687511845424
312,0,0,0,169,45.032687511845424
313,1,0,1,170,45.370030605796245
314,1,0,0,170,45.82707842431358
315,2,0,0,170,46.43406587190468
316,0,0,0,170,46.43406587190468
317,1,0,1,171,46.966160817607644
318,1,0,0,171,47.42798171592754
319,0,0,0,171,47.42798171592754
320,1,0,0,171,47.98569882096798
321,2,0,1,172,48.54766335086682
322,2,0,0,172,48.943821367948665
323,0,0,1,173,48.943821367948665
324,0,0,1,174,48.943821367948665
325,0,0,0,174,48.943821367948665
326,2,0,1,175,49.34637727145919
327,2,0,0,175,49.66457610726311
328,0,0,1,176,49.66457610726311
329,0,0,0,176,49.66457610726311
330,1,0,0,176,50.13773381732803
331,2,0,0,176,50.61042217026666
332,0,0,1,177,50.61042217026666
333,0,0,1,178,50.61042217026666
334,0,0,1,179,50.61042217026666
335,0,0,1,180,50.61042217026666
336,0,0,0,180,50.61042217026666
337,0,0,0,180,50.61042217026666
338,1,0,0,180,51.27316955467857
339,2,0,0,180,51.72262513128105
340,0,0,1,181,51.72262513128105
341,0,0,1,182,51.72262513128105
342,0,0,0,182,51.72262513128105
343,0,0,1,183,51.72262513128105
344,0,0,1,184,51.72262513128105
345,0,0,1,185,51.72262513128105
346,0,0,1,186,51.72262513128105
347,0,0,0,186,51.72262513128105
348,0,0,1,187,51.72262513128105
349,0,0,1,188,51.72262513128105
350,1,0,1,189,52.06723706532492
351,1,0,0,189,52.57607138859752
352,0,0,0,189,52.57607138859752
353,2,0,0,189,52.914867489130344
354,1,0,0,189,53.22787525574326
355,0,0,1,190,53.22787525574326
356,0,0,0,190,53.22787525574326
357,0,0,1,191,53.22787525574326
358,0,0,0,191,53.22787525574326
359,2,0,0,191,53.86628798554576
360,0,0,1,192,53.86628798554576
361,0,0,1,193,53.86628798554576
362,0,0,0,193,53.86628798554576
363,1,0,0,193,54.27720727778338
364,0,0,0,193,54.27720727778338
365,0,0,0,193,54.27720727778338
366,2,0,1,194,54.6422554162378
367,2,0,0,194,55.13749459645533
368,1,0,1,195,55.71695710971849
369,1,0,0,195,55.999465874811236
370,2,0,0,195,56.300402639425116
371,0,0,1,196,56.300402639425116
372,0,0,1,197,56.300402639425116
373,0,0,1,198,56.300402639425116
374,0,0,0,198,56.300402639425116
375,1,1,0,198,56.300402639425116
376,0,1,1,199,56.44537394269468
377,0,0,0,199,56.44537394269468
378,2,0,0,199,56.68623570703491
379,0,0,0,199,56.68623570703491
380,1,0,0,199,56.7215384004116
381,0,0,1,200,56.7215384004116
382,0,1,0,200,56.84522676551636
383,0,1,1,201,57.032160436068466
